Bbls,PADD 1,PADD 2,PADD 3,PADD 4,PADD 5,Total,,,,
2018-01-01,0,0,"7,000,141",0,0,,,,,
2018-02-01,0,0,"8,797,597",0,0,,,,,
2018-03-01,0,0,"10,550,213",0,0,,,,,
2018-04-01,0,0,"9,687,292",0,0,,,,,
2018-05-01,0,0,"9,490,191",0,0,,,,,
2018-06-01,0,0,"6,396,930",0,0,,,,,
2018-07-01,0,0,"6,980,642",0,0,,,,,
2018-08-01,0,0,"8,150,582",0,0,,,,,
2018-09-01,0,0,"7,831,050",0,0,,,,,
2018-10-01,0,0,"4,660,261",0,0,,,,,
2018-11-01,0,0,"3,906,090",0,0,,,,,
2018-12-01,0,0,"4,933,247",0,0,,,,,
2019-01-01,0,0,"3,256,333",0,0,,,,,
2019-02-01,0,0,"6,991,964",0,0,,,,,
2019-03-01,0,0,"6,727,155",0,0,13940825.16,,,,
2019-04-01,0,0,"6,812,070",0,0,17686111.99,,,,
2019-05-01,0,0,"6,200,682",0,0,14149760.1,,,,
2019-06-01,0,0,"4,528,800",0,0,9330223.87,,,,
2019-07-01,0,0,"6,980,642",0,0,12474506.68,,,,
2019-08-01,0,0,"8,150,582",0,0,14602701.97,,,,
2019-09-01,0,0,"7,831,050",0,0,13500651.6,,,,
2019-10-01,0,0,"6,395,672",0,0,16201075.03,,,,
2019-11-01,0,0,"6,925,290",0,0,15121498.16,,,,
2019-12-01,0,0,"8,521,063",0,0,14488824.94,,,,
2020-01-01,0,0,"8,423,568",0,0,18210399.18,,,,
2020-02-01,0,0,"8,190,209",0,0,12766341.33,,,,
2020-03-01,0,0,"8,774,550",0,0,12744138.3,,,,
2020-04-01,0,0,"7,283,820",0,0,12744138.3,,,,
2020-05-01,0,0,"8,696,554",0,0,12744138.3,,,,
2020-06-01,0,0,"8,453,760",0,0,12744138.3,,,,
2020-07-01,0,0,"8,579,560",0,0,12744138.3,,,,
2020-08-01,,,"6,314,646",,,,,,,
2020-09-01,,,"5,899,131",,,,,,,
2020-10-01,,,"5,845,409",,,,,,,
2020-11-01,,,"6,462,999",,,,,,,
2020-12-01,,,"7,929,819",,,,,,,
2021-01-01,,,"7,979,270",,,,,,,
